Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
,0,,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21
,0,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
,0,,O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1,O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1
,0,,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1
,0,,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
,0,,O=c1[nH]c2ccccc2c2ccccc12,O=c1[nH]c2ccccc2c2ccccc12
,0,,CCCN(CCC)CCc1cccc2c1CC(=O)N2,CCCN(CCC)CCc1cccc2c1CC(=O)N2
,0,,CCCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,CCCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1
,0,,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O
,0,,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
,0,,CCC1(c2ccccc2)C(=O)NCNC1=O,CCC1(c2ccccc2)C(=O)NCNC1=O
,0,,CN=C(NC#N)Nc1ccc(C2=NNC(=O)CC2C)cc1,CN=C(NC#N)Nc1ccc(C2=NNC(=O)CC2C)cc1
,0,,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1
,0,,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
,0,,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C
,0,,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3
,0,,C[N+]1(C)CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3,C[N+]1(C)CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3
,0,,Nc1ccn(C2CCC(CO)O2)c(=O)n1,Nc1ccn(C2CCC(CO)O2)c(=O)n1
,0,,CC1OCC(C[N+](C)(C)C)O1,CC1OCC(C[N+](C)(C)C)O1
,0,,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NNC(=O)c2ccccc2)CCC3(O)C1C5,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NNC(=O)c2ccccc2)CCC3(O)C1C5
,0,,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
,0,,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
,0,,O=C(O)C1C2CCC(O2)C1C(=O)O,O=C(O)C1C2CCC(O2)C1C(=O)O
,0,,CC(C)CC(NC(=O)C1OC1C(=O)O)C(=O)NCCCCN=C(N)N,CC(C)CC(NC(=O)C1OC1C(=O)O)C(=O)NCCCCN=C(N)N
,0,,CNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,CNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
,0,,CNC(=O)C1OC(n2cnc3c(NCc4ccc(N)cc4)ncnc32)C(O)C1O,CNC(=O)C1OC(n2cnc3c(NCc4ccc(N)cc4)ncnc32)C(O)C1O
,0,,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O
,0,,CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
,0,,CCCCC#Cc1nc(N)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1,CCCCC#Cc1nc(N)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1
,0,,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O
,0,,CC1OC(C[N+](C)(C)C)CC1O,CC1OC(C[N+](C)(C)C)CC1O
,0,,CNc1ccc2oc(CC3OC4(CCC3C)OC(C(C)C(=O)c3ccc[nH]3)C(C)CC4C)nc2c1C(=O)O,CNc1ccc2oc(CC3OC4(CCC3C)OC(C(C)C(=O)c3ccc[nH]3)C(C)CC4C)nc2c1C(=O)O
,0,,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O
,0,,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
,0,,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1
,0,,Nc1nccc2c1ncn2C1OC(CO)C(O)C1O,Nc1nccc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,CC(Cc1ccccc1)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,CC(Cc1ccccc1)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CC5CCC4C5)ncnc32)C(O)C1O,OCC1OC(n2cnc3c(NC4CC5CCC4C5)ncnc32)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O,OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O
,0,,CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CCCC4)ncnc32)C(O)C1O,OCC1OC(n2cnc3c(NC4CCCC4)ncnc32)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O
,0,,Cc1ccccc1CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Cc1ccccc1CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1ccc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,Nc1ccc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1
,0,,OCC1OC(n2cnc3c(NCCc4ccccc4)ncnc32)C(O)C1O,OCC1OC(n2cnc3c(NCCc4ccccc4)ncnc32)C(O)C1O
,0,,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1O,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1O
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NN=C2CCC4(O)C6Cc7ccc(O)c8c7C4(CCN6CC=C)C2O8)CCC3(O)C1C5,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NN=C2CCC4(O)C6Cc7ccc(O)c8c7C4(CCN6CC=C)C2O8)CCC3(O)C1C5
,0,,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21
,0,,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(CC2CC2)CCC314,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(CC2CC2)CCC314
,0,,CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O,CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O
,0,,O=c1cc(O)cc(C=Cc2ccc(O)c(O)c2)o1,O=c1cc(O)cc(C=Cc2ccc(O)c(O)c2)o1
,0,,O=C1OC(=O)C2C3CCC(O3)C12,O=C1OC(=O)C2C3CCC(O3)C12
,0,,CC12C(=O)OC(=O)C1(C)C1CCC2O1,CC12C(=O)OC(=O)C1(C)C1CCC2O1
,0,,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
,0,,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
,0,,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6COC(=O)C6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6COC(=O)C6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
,0,,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
,0,,CCC1C(=O)OCC1Cc1cncn1C,CCC1C(=O)OCC1Cc1cncn1C
,0,,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC
,0,,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
,0,,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C
,0,,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O
,0,,CCCN1CCOC2c3cc(O)ccc3OCC21,CCCN1CCOC2c3cc(O)ccc3OCC21
,0,,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
,0,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
,0,,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O
,0,,O=c1ccc2ccc(O)c(O)c2o1,O=c1ccc2ccc(O)c(O)c2o1
,0,,CN1CCC2(CCN3CCc4c(oc5ccccc45)C3C2)N(C)C1=O,CN1CCC2(CCN3CCc4c(oc5ccccc45)C3C2)N(C)C1=O
,0,,O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1,O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1
,0,,O=Nc1ccc2oc(=O)ccc2c1,O=Nc1ccc2oc(=O)ccc2c1
,0,,CCC1(C2=NCCN2)Cc2ccccc2O1,CCC1(C2=NCCN2)Cc2ccccc2O1
,0,,CCOC(=O)C12CC1C(=NO)c1ccccc1O2,CCOC(=O)C12CC1C(=NO)c1ccccc1O2
,0,,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N
,0,,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
,0,,CCn1ccnc1CC1COc2ccccc2O1,CCn1ccnc1CC1COc2ccccc2O1
,0,,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2
,0,,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1
,0,,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
,0,,CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3,CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3
,0,,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
,0,,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
,0,,COC1(C2=NCCN2)COc2ccccc2O1,COC1(C2=NCCN2)COc2ccccc2O1
,0,,c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2,c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2
,0,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
,0,,CCN1CCc2nc(N)oc2CC1,CCN1CCc2nc(N)oc2CC1
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
,0,,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1
,0,,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
,0,,CN(C)CCC=C1c2ccccc2COc2ccccc21,CN(C)CCC=C1c2ccccc2COc2ccccc21
,0,,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
,0,,Nc1ncnc2c1ncn2C1CCCO1,Nc1ncnc2c1ncn2C1CCCO1
,0,,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
,0,,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1
,0,,C1CCC(N=C(NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1,C1CCC(N=C(NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1
,0,,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1
,0,,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
,0,,C1COC(NC(C2CC2)C2CC2)=N1,C1COC(NC(C2CC2)C2CC2)=N1
,0,,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1
,0,,NC(Cn1oc(=O)[nH]c1=O)C(=O)O,NC(Cn1oc(=O)[nH]c1=O)C(=O)O
,0,,CCOC([O-])=Nc1c[n+](N2CCOCC2)no1,CCOC([O-])=Nc1c[n+](N2CCOCC2)no1
,0,,O=c1onc2cnc3ccccc3n12,O=c1onc2cnc3ccccc3n12
,0,,Cc1o[nH]c(=O)c1CC(N)C(=O)O,Cc1o[nH]c(=O)c1CC(N)C(=O)O
,0,,CC(C)(C)c1o[nH]c(=O)c1CC(N)C(=O)O,CC(C)(C)c1o[nH]c(=O)c1CC(N)C(=O)O
,0,,NC(C(=O)O)c1cc(=O)[nH]o1,NC(C(=O)O)c1cc(=O)[nH]o1
,0,,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1
,0,,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1
,0,,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O
,0,,NC(C(=O)O)C1CC1C(=O)O,NC(C(=O)O)C1CC1C(=O)O
,0,,O=C(O)C1CCCNC1C(=O)O,O=C(O)C1CCCNC1C(=O)O
,0,,O=C(O)C1CCCNC1,O=C(O)C1CCCNC1
,0,,C=C(C)C1CNC(C(=O)O)C1CC(=O)O,C=C(C)C1CNC(C(=O)O)C1CC(=O)O
,0,,CC(C)C1CNC(C(=O)O)C1CC(=O)O,CC(C)C1CNC(C(=O)O)C1CC(=O)O
,0,,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
,0,,NC(C(=O)O)C(O)C(=O)O,NC(C(=O)O)C(O)C(=O)O
,0,,C=CCC(N)C(=O)O,C=CCC(N)C(=O)O
,0,,CN(C)C(N)=NCCCC(N)C(=O)O,CN(C)C(N)=NCCCC(N)C(=O)O
,0,,NC(=NCCCC(N)C(=O)O)N[N+](=O)[O-],NC(=NCCCC(N)C(=O)O)N[N+](=O)[O-]
,0,,NC(=NCCCC(N)C(=O)O)NO,NC(=NCCCC(N)C(=O)O)NO
,0,,CC(N)=NCCCCC(N)C(=O)O,CC(N)=NCCCCC(N)C(=O)O
,0,,Cc1cc(Cn2cnc3c2CC(C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N,Cc1cc(Cn2cnc3c2CC(C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N
,0,,O=C(O)CCC(=O)N1CCCC1C(=O)O,O=C(O)CCC(=O)N1CCCC1C(=O)O
,0,,O=C(O)C1CC(C(=O)O)N1,O=C(O)C1CC(C(=O)O)N1
,0,,O=C(O)C1CCN1,O=C(O)C1CCN1
,0,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
,0,,NC(=O)C(=O)O,NC(=O)C(=O)O
,0,,Cc1cc(C)c(NC(=O)CC(CC(=O)O)c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1,Cc1cc(C)c(NC(=O)CC(CC(=O)O)c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1
,0,,CNC(CC(=O)O)C(=O)O,CNC(CC(=O)O)C(=O)O
,0,,C=C(C)C1CC=C(C(=O)O)CC1,C=C(C)C1CC=C(C(=O)O)CC1
,0,,NC1(C(=O)O)CCC(C(=O)O)C1,NC1(C(=O)O)CCC(C(=O)O)C1
,0,,NC1(C(=O)O)CCc2cc(C(=O)O)ccc21,NC1(C(=O)O)CCc2cc(C(=O)O)ccc21
,0,,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1
,0,,CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1
,0,,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
,0,,CC(N)(C(=O)O)c1ccc(C(=O)O)cc1,CC(N)(C(=O)O)c1ccc(C(=O)O)cc1
,0,,O=C(O)CCC(NC(=O)c1ccccc1C(=O)O)C(=O)O,O=C(O)CCC(NC(=O)c1ccccc1C(=O)O)C(=O)O
,0,,O=C(O)c1ccccc1Nc1ccccc1,O=C(O)c1ccccc1Nc1ccccc1
,0,,O=C(O)C1CCNCC1,O=C(O)C1CCNCC1
,0,,CCCCc1ccc(C(=O)O)nc1,CCCCc1ccc(C(=O)O)nc1
,0,,NC(N)=NC(CCC(=O)O)C(=O)O,NC(N)=NC(CCC(=O)O)C(=O)O
,0,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
,0,,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1
,0,,CC1(C)CCC(NC(=O)C(N)CCC(=O)O)CC1,CC1(C)CCC(NC(=O)C(N)CCC(=O)O)CC1
,0,,C#CC(N)CCC(=O)O,C#CC(N)CCC(=O)O
,0,,C=CC(N)CCC(=O)O,C=CC(N)CCC(=O)O
,0,,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1
,0,,O=C(O)CC[N+](=O)[O-],O=C(O)CC[N+](=O)[O-]
,0,,NCC1(CC(=O)O)CCCCC1,NCC1(CC(=O)O)CCCCC1
,0,,NC(CCCC(=O)O)C(=O)O,NC(CCCC(=O)O)C(=O)O
,0,,CCCCCC(O)CCCC(=O)O,CCCCCC(O)CCCC(=O)O
,0,,CCCCCCCCCCCC=CC(C)(C)C=CCCCC(=O)O,CCCCCCCCCCCC=CC(C)(C)C=CCCCC(=O)O
,0,,O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O
,0,,NCCCCCC(=O)O,NCCCCCC(=O)O
,0,,NCCCC(=O)O,NCCCC(=O)O
,0,,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
,0,,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O
,0,,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
,0,,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
,0,,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
,0,,CCCCCC(CC(=O)NO)C(=O)NC(C(=O)N1CCCC1CO)C(C)C,CCCCCC(CC(=O)NO)C(=O)NC(C(=O)N1CCCC1CO)C(C)C
,0,,CCCCCCCCCCCCCC=CC(O)C(N)CO,CCCCCCCCCCCCCC=CC(O)C(N)CO
,0,,CCCCCCCCCCCCCCCC(O)C(N)CO,CCCCCCCCCCCCCCCC(O)C(N)CO
,0,,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1
,0,,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
,0,,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O
,0,,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
,0,,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
,0,,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C
,0,,C#CC1(O)CCC2C3CCC4=Cc5nc6nc7ccccc7n6cc5CC4(C)C3CCC21C,C#CC1(O)CCC2C3CCC4=Cc5nc6nc7ccccc7n6cc5CC4(C)C3CCC21C
,0,,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1
,0,,CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O,CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O
